Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 2.0 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Overpotential @ 50 mA_Ar,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Cdl mF cm-2_Ar
exp694,0,4,0,41,15,0,5,0,0,5,5,-1.5,104,-0.0147,-0.1557,-0.4257,-0.4387,-0.4447,-0.4497,139.781015,0.551972238,24.30788514
exp695,0,0,5,35,25,0,0,0,0,5,5,-1.5,138,-0.0627,-0.0897,-0.1127,-0.1347,-0.0097,-0.1767,42.32344371,18139035.34,78.42397157
exp696,5,0,0,35,15,5,5,0,0,5,5,-1.5,30,-0.0247,-0.1097,-0.2177,-0.3817,-0.3967,-0.4077,292.8266528,58.60105404,83.28296911
exp697,5,0,0,45,15,0,0,0,0,5,5,-1.5,96,-0.0347,-0.0747,-0.1407,-0.1927,-0.2337,-0.2677,54.29173073,1020368.421,124.6732667
exp698,0,0,5,40,15,5,0,0,0,5,5,-1.4,180,-0.0767,-0.0917,-0.0407,-0.1327,-0.0187,-0.0107,33.77157171,834760679.8,73.40144353
exp699,0,0,2,38,15,0,5,0,5,5,5,-1.5,30,-0.4897,-0.5667,-0.6057,-0.6367,-0.6627,-0.6847,119.5826915,0.000150226,2.059598109
exp700,4,1,0,35,25,0,0,0,0,5,5,-1.5,112,-0.0467,-0.0617,-0.0877,-0.1177,-0.1467,-0.1747,36.67716588,160416557.6,140.8368022
exp701,0,5,5,40,15,0,0,0,0,5,5,-1.5,90,-0.0537,-0.0747,-0.1057,-0.1377,-0.1657,-0.1897,61.95424668,327018.5757,96.50947987
exp702,0,0,0,35,25,5,0,0,0,5,5,-1.5,128,-0.0637,-0.0847,-0.1127,-0.1387,-0.1657,-0.1937,49.95790634,1502066.034,122.7334619
exp703,5,0,0,35,25,0,0,0,0,5,5,-1.5,30,-0.0297,-0.1607,-0.3547,-0.3947,-0.4087,-0.4197,82.50798011,1510.999629,75.40674458
exp704,3,0,5,42,15,0,0,0,0,5,5,-1.5,143,-0.0567,-0.0697,-0.0907,-0.1157,-0.1427,-0.1687,23.57152789,2.52761E+12,153.0927414
exp705,5,0,5,35,15,0,5,0,0,5,5,-1.5,159,-0.0447,-0.0607,-0.0787,-0.1017,-0.1317,-0.1647,23.45129223,6.25743E+12,168.7600112
exp706,0,5,0,45,15,0,0,0,0,5,5,-1,163,-0.2797,-0.3147,-0.3327,-0.3447,-0.3557,-0.3647,73.7928214,0.000821179,14.7761262
exp707,0,0,5,36,15,0,5,0,4,5,5,-1.5,162,-0.0317,-0.0647,-0.1647,-0.3907,-0.4187,-0.4367,248.0496654,98.19042948,123.7322689
exp708,5,0,5,40,15,0,0,0,0,5,5,-1.5,129,-0.0307,-0.0617,-0.1057,-0.1517,-0.1917,-0.2257,50.28171452,2901090.9,148.9067694
exp709,0,5,0,38,15,5,0,0,0,7,7,-1.5,120,-0.0617,-0.0457,-0.1147,-0.0187,-0.1637,-0.1877,43.47602424,15744947.44,116.9565568
exp710,5,1,2,37,15,5,0,0,0,5,5,-1.5,180,-0.0437,-0.0627,-0.0847,-0.1127,-0.1417,-0.1717,27.70635498,33658900529,156.5537157
exp711,5,5,2,35,19,0,0,0,0,5,4,-1.4,156,-0.0337,-0.0677,-0.1267,-0.1797,-0.2237,-0.2787,73.30480124,45787.05467,120.0414142
exp712,0,5,0,35,25,0,0,0,0,5,5,-1.2,180,-0.0437,-0.0767,-0.1217,-0.1627,-0.3607,-0.4067,134.806843,814.3050443,92.34572545
exp713,0,5,0,40,15,5,0,0,0,5,5,-1.5,121,-0.0697,-0.0877,-0.1117,-0.0197,-0.1597,-0.1827,43.79893002,14822281.53,116.6051984
exp714,5,0,5,40,15,0,0,0,0,5,5,-1.5,167,-0.0437,-0.0657,-0.1057,-0.1507,-0.1927,-0.2287,47.89099686,4743246.815,141.0908534
exp715,2,5,5,38,15,0,0,0,0,5,5,-1.5,131,-0.0687,-0.0807,-0.0427,-0.1207,-0.1437,-0.1667,16.47949591,1.32E+17,129.8372026
exp716,5,0,3,42,15,0,0,0,0,5,5,-1.5,112,-0.0277,-0.0667,-0.1217,-0.1717,-0.2147,-0.2517,52.61911271,1587139.181,135.4031353
exp717,0,5,0,35,25,0,0,0,0,5,5,-1,30,-0.4017,-0.4527,-0.4797,-0.4987,-0.5137,-0.5277,96.26839458,0.000188476,0.225156417
exp718,0,0,5,35,15,5,5,0,0,5,5,-1.5,158,-0.0027,-0.4237,-0.4397,-0.4517,-0.4687,-0.4937,513.023442,3.273734029,23.26244378
exp719,0,5,0,45,15,0,0,0,0,5,5,-1.5,103,-0.0577,-0.0327,-0.1177,-0.1497,-0.1787,-0.2047,55.14941557,987500.0102,105.6652798
exp720,5,0,5,35,20,0,0,0,0,5,5,-1.5,80,-0.0087,-0.1747,-0.2527,-0.3727,-0.4137,-0.4287,181.6552611,140.0764283,74.89109972
exp721,5,0,0,45,15,0,0,0,0,5,5,-1.5,132,-0.0477,-0.2097,-0.3727,-0.4017,-0.4187,-0.4327,224.1413102,1.547157223,54.85610749
exp722,0,0,5,35,25,0,0,0,0,5,5,-1.5,180,-0.1747,-0.4287,-0.4407,-0.4687,-0.4917,-0.5167,103.5974175,0.0007884,15.57999988
exp723,0,0,5,45,15,0,0,0,0,5,5,-1.5,134,-0.0547,-0.0827,-0.0167,-0.1737,-0.2077,-0.2347,36.85092775,237733223.1,117.7192983
exp724,0,0,5,45,15,0,0,0,0,5,5,-1.5,142,-0.0597,-0.0347,-0.0217,-0.1907,-0.2797,-0.3647,108.8219297,3608.821639,3.391445939
exp725,5,5,3,35,15,2,0,0,0,5,5,-1.5,113,-0.5017,-0.5667,-0.6007,-0.6247,-0.6437,-0.6617,117.6423797,0.000152163,0.464274809
exp726,0,4,5,35,15,0,5,0,0,6,6,-1.5,152,-0.0127,-0.1007,-0.3477,-0.3567,-0.3627,-0.3687,113.6343081,173.9791025,112.8773315
exp727,0,0,5,43,15,2,0,0,0,5,5,-1.5,49,-0.0307,-0.0797,-0.1417,-0.3897,-0.4047,-0.4147,308.0147257,56.46216589,92.64697893
exp728,5,0,5,35,15,5,0,0,0,5,5,-1.5,180,-0.0387,-0.0587,-0.0837,-0.1147,-0.1467,-0.1787,34.50005467,546015619.2,164.8084771
exp729,20,0,30,0,0,0,20,0,0,0,0,-1,64,-0.5467,-0.6547,-0.7167,-0.7577,-0.7897,-0.8167,195.5279052,0.003884707,0.216412588
exp730,0,0,17,0,19,0,11,0,0,0,23,-1.2,84,-0.4147,-0.4757,-0.5127,-0.5477,-0.5817,-0.6117,152.3501916,0.006253424,2.204922155
exp731,0,0,0,0,7,17,25,0,0,0,21,-1.5,30,-0.3657,-0.4237,-0.4497,-0.4677,-0.4817,-0.4947,103.0948924,0.000927291,4.066938167
exp732,6,0,30,0,0,25,0,0,0,0,9,-1,136,-0.4427,-0.4987,-0.5297,-0.5517,-0.5697,-0.5857,118.5194427,0.000521637,0.962455044
exp733,0,17,0,0,15,17,0,20,0,0,1,-1.5,180,-0.2277,-0.3017,-0.3327,-0.3547,-0.3727,-0.3887,99.04030614,0.007026061,18.97800874
exp734,0,0,0,0,33,0,0,0,0,0,37,-1.5,180,-0.4207,-0.4817,-0.5167,-0.5387,-0.5577,-0.5737,106.582315,0.000212823,5.726081106
exp735,20,0,0,10,40,0,0,0,0,0,0,-1.5,177,-0.4247,-0.5027,-0.5447,-0.5737,-0.5967,-0.6167,134.9438902,0.001602882,1.48935419
exp736,0,20,28,0,16,0,0,0,0,7,6,-1,180,-0.1517,-0.3107,-0.3257,-0.3347,-0.3427,-0.3497,360.8390655,3.144200138,68.07532541
exp737,0,0,0,0,28,19,0,2,0,0,21,-1.3,180,-0.2627,-0.3357,-0.3677,-0.3887,-0.4067,-0.4217,101.690663,0.003867473,13.97491148
exp738,0,0,30,0,33,0,0,0,7,0,0,-1.5,30,-0.4437,-0.5307,-0.5717,-0.5997,-0.6217,-0.6417,116.1772601,0.000136462,2.296586803
exp739,0,25,0,0,40,0,3,2,0,0,0,-1,180,-0.3427,-0.4247,-0.4617,-0.4847,-0.5027,-0.5177,106.8407752,0.000564592,8.189320809
exp740,0,0,0,20,1,12,7,30,0,0,0,-1.5,180,-0.0647,-0.2067,-0.2587,-0.2887,-0.3577,-0.4617,13.22508523,1.52E-20,30.29804587
exp741,0,24,0,0,40,6,0,0,0,0,0,-1.5,137,-0.4077,-0.4497,-0.4787,-0.5037,-0.5237,-0.5407,110.7164782,0.000828228,6.470818049
exp742,0,0,0,0,25,16,15,0,0,0,14,-1.2,180,-0.3417,-0.3997,-0.4227,-0.4377,-0.4497,-0.4607,84.50008796,0.000265164,13.22373071
exp743,0,16,0,0,27,0,0,14,14,0,-1,-1.5,180,-0.2207,-0.3167,-0.3517,-0.3767,-0.3977,-0.4147,348.8279357,1.677059438,19.26043693
exp744,0,0,30,0,0,25,15,0,0,0,0,-1.4,30,-0.4607,-0.5307,-0.5697,-0.5967,-0.6177,-0.6357,129.1416599,0.000579263,1.15640047
exp745,0,0,0,0,1,25,3,17,0,0,24,-1.5,61,-0.1667,-0.2387,-0.2717,-0.2927,-0.3097,-0.3237,84.04064743,0.009329646,20.58301223
exp746,0,0,0,0,0,25,0,0,0,0,45,-1.3,180,-0.4867,-0.5787,-0.6277,-0.6587,-0.6817,-0.7007,131.6555174,0.000329534,0.401927691
exp747,0,0,25,0,10,7,8,0,0,20,20,-1.5,180,-0.0017,-0.2827,-0.2987,-0.3057,-0.3117,,170.110482,1.806119279,84.82808885
exp748,0,23,0,0,22,25,0,0,0,0,0,-1.5,180,-0.4197,-0.4807,-0.5147,-0.5407,-0.5637,-0.5847,123.3995268,0.000952534,1.145126781
exp749,0,0,0,20,23,0,0,0,0,0,27,-1.1,180,-0.4247,-0.5107,-0.5537,-0.5807,-0.6007,-0.6197,128.9217168,0.000971701,2.178114656
exp750,0,0,0,20,6,0,9,0,0,0,35,-1.5,136,-0.0297,-0.0937,-0.1647,-0.3937,-0.4327,-0.4417,337.7879882,62.7884797,95.22863489
exp751,0,0,0,0,38,0,0,15,0,0,17,-1.5,180,0.0083,-0.2727,-0.3077,-0.3287,-0.3457,-0.3597,404.5795812,3.037348352,65.82847088
exp752,0,0,4,20,26,0,0,0,0,20,20,-1.5,180,-0.0527,-0.0377,-0.0847,-0.1057,-0.0107,-0.1597,52.4369043,639268.8478,154.6781856
exp753,0,0,0,20,0,25,15,0,0,0,10,-1.5,165,-0.0167,-0.0567,-0.1167,0.0113,-0.3307,-0.3417,235.4135958,77.02515592,173.2294771
exp754,0,0,30,20,0,20,0,0,0,0,0,-1.5,180,-0.0437,-0.3237,-0.3707,-0.3907,-0.4057,-0.4187,143.5617764,0.632349086,75.43259098
exp755,0,0,30,0,26,0,8,0,0,6,6,-1,180,0.0103,-0.3247,-0.3397,-0.3527,-0.3657,-0.3777,79.16080036,0.001040209,25.83417769
exp756,0,0,0,0,20,20,0,30,0,0,0,-1.5,180,0.0093,-0.2447,-0.2777,-0.2967,-0.3107,-0.3237,356.5612544,2.851245607,62.71178277
exp757,8,24,0,0,38,0,0,0,0,0,0,-1.5,180,-0.0197,-0.0417,-0.0987,0.0053,-0.2247,-0.2557,114.5294987,496.9172827,153.1528294
exp758,0,0,26,0,14,25,0,0,0,5,5,-1.1,180,-0.2057,-0.2797,-0.2877,-0.2927,-0.2987,-0.3067,229.3495697,1.16957474,25.0173875
exp759,20,25,5,0,20,0,0,0,0,0,0,-1.5,180,-0.5617,-0.6287,-0.6617,-0.6817,-0.6977,-0.7107,111.9103067,5.73E-05,0.100838238
exp760,0,0,0,0,0,12,25,0,0,0,33,-1.3,65,-0.3687,-0.4237,-0.4497,-0.4677,-0.4827,-0.4957,100.0924391,0.000545637,3.205444634
exp761,0,25,0,0,13,0,0,0,32,0,0,-1,180,-0.5347,-0.6767,-0.7357,-0.7647,-0.7837,-0.7987,150.5740583,0.000461647,0.298680939
exp762,0,3,0,0,33,9,25,0,0,0,0,-1.5,180,-0.3617,-0.4337,-0.4637,-0.4837,-0.4997,-0.5147,110.7343527,0.001198833,14.04883691
exp763,0,0,0,20,30,20,0,0,0,0,0,-1.5,180,-0.0187,-0.0967,-0.3737,-0.3877,-0.3947,-0.3997,175.24458,85.20814048,95.07015467
exp764,0,19,0,0,16,0,0,0,35,0,0,-1,168,-0.4337,-0.6067,-0.7117,-0.7537,-0.7747,-0.7877,214.7726275,0.013481475,0.655682843
exp765,0,5,0,0,38,2,25,0,0,0,0,-1.5,30,-0.5117,-0.5787,-0.6087,-0.6277,-0.6427,-0.6547,104.6825676,2.81E-05,3.783852853
exp766,0,0,0,20,20,0,0,30,0,0,0,-1.5,180,-0.0357,-0.0187,-0.1797,0.0043,-0.3737,-0.3897,4.148889645,2.06E-46,78.42044497
exp767,0,20,0,20,5,0,25,0,0,0,0,-1.5,30,-0.4897,-0.5537,-0.5877,-0.6117,-0.6317,-0.6487,112.4249515,9.37E-05,4.362303301
exp768,0,0,0,0,38,0,0,12,0,20,20,-1.5,125,-0.0237,-0.2967,-0.3307,-0.3527,-0.3707,-0.3867,97.45370942,0.005915632,36.96852313
exp769,0,0,30,0,28,0,10,0,0,2,2,-1.2,180,-0.3237,-0.3637,-0.3767,-0.3867,-0.3937,-0.4017,345.9294768,1.779802945,44.68686272
exp770,0,25,0,0,15,25,3,2,0,0,0,-1.3,180,-0.2517,-0.3427,-0.3757,-0.3987,-0.4167,-0.4317,100.8985189,0.003533508,22.12852143
exp771,0,21,28,0,14,5,3,0,0,0,-1,-1,180,-0.3927,-0.4667,-0.5017,-0.5247,-0.5437,-0.5607,110.9489163,0.000504499,3.913510488
exp772,0,25,0,20,22,0,0,0,0,3,3,-1.5,180,-0.0657,-0.1047,-0.1547,-0.3157,-0.4027,-0.4097,221.1017227,95.24097487,70.91821602
exp773,0,3,0,20,30,0,0,0,0,17,17,-1.5,180,-0.0487,-0.1767,-0.3947,,-0.4027,-0.4067,86.79583778,0.153132057,47.83619066
exp774,0,23,22,0,22,0,0,3,0,0,0,-1,180,-0.4517,-0.5097,-0.5367,-0.5537,-0.5667,-0.5787,89.95446042,1.86E-05,2.634845414
exp775,0,25,0,0,17,0,25,3,0,0,0,-1,66,-0.5167,-0.5707,-0.6017,-0.6257,-0.6447,-0.6597,101.3373989,2.93E-05,3.278336493
exp776,4,0,0,0,36,0,0,30,0,0,0,-1.5,180,0.0013,-0.2697,-0.3017,-0.3217,-0.3377,-0.3517,278.5648453,1.381916729,49.91581536
exp777,0,0,0,0,12,25,0,0,0,20,33,-1.5,180,-0.1867,-0.3177,-0.3417,-0.3597,-0.3757,-0.3907,94.79194948,0.004510644,25.99996033
exp778,0,23,0,20,26,0,0,1,0,0,0,-1.5,180,-0.0407,-0.0057,0.0113,-0.3557,-0.3877,-0.4027,220.3329337,71.71821105,85.02882413
exp779,0,0,16,0,21,0,19,14,0,0,0,-1.5,30,-0.3097,-0.3907,-0.4357,-0.4677,-0.4917,-0.5117,134.9456421,0.008125166,7.930344726
exp780,0,0,1,0,38,25,0,5,0,0,1,-1.5,180,0.0093,-0.2397,-0.2757,-0.2957,-0.3117,-0.3247,307.4398892,2.325402577,76.01809699
exp781,0,0,11,0,34,1,0,24,0,0,0,-1.5,30,-0.2707,-0.3437,-0.3797,-0.4047,-0.4247,-0.4417,113.3006405,0.007702724,10.14223865
exp782,0,0,26,20,15,0,0,0,0,9,9,-1.1,180,-0.4097,-0.4687,-0.4997,-0.5207,-0.5367,-0.5517,100.2591352,0.000131607,7.590076954
exp783,0,0,30,0,30,0,0,0,0,10,10,-1,148,-0.0057,-0.3127,-0.3267,-0.3367,-0.3437,-0.3507,360.6644066,2.60743697,44.97925511
exp784,0,0,0,0,31,0,0,25,0,0,14,-1.5,180,0.0063,-0.2747,-0.3087,-0.3297,-0.3467,-0.3617,260.6402736,1.072872496,51.78477152
exp785,0,0,0,0,0,25,12,12,0,20,21,-1.5,180,-0.1227,-0.2117,-0.2467,-0.2687,-0.2867,-0.3007,300.9887614,2.5777346,37.80633605
exp786,0,0,0,0,40,0,0,0,30,0,0,-1.5,165,-0.5997,-0.6827,-0.7127,-0.7327,-0.7487,-0.7627,108.6849138,1.02E-05,0.272518781
exp787,0,0,0,20,29,0,0,21,0,0,0,-1.5,146,-0.0597,-0.3477,-0.3837,-0.4097,-0.4307,-0.4497,342.5090388,2.519077968,39.4878034
exp788,0,0,0,0,40,0,0,0,0,0,30,-1.5,66,-0.4127,-0.4867,-0.5207,-0.5437,-0.5627,-0.5797,121.5595979,0.00070197,4.281007723
exp800,0,20,0,15,25,0,0,2,0,8,8,-1.3,180,-0.2607,-0.3447,-0.3767,-0.3987,-0.4157,-0.4317,101.4078077,0.002777601,22.76052103
exp801,0,28,0,25,17,0,0,0,0,0,0,-1,180,-0.3807,-0.4387,-0.4687,-0.4897,-0.5057,-0.5197,105.2537165,0.000569206,1.502420326
exp802,0,30,0,23,17,0,0,0,0,0,0,-1.4,42,-0.0577,-0.1607,-0.4047,-0.4097,-0.4137,,61.81545132,0.028616824,52.36707103
exp803,5,20,0,25,17,0,0,0,0,3,3,-1.5,30,-0.0357,-0.3047,-0.3837,-0.4017,-0.4147,-0.4257,244.8273826,1.784810987,62.23433285
exp804,0,20,4,24,17,0,0,0,5,0,0,-1.5,180,-0.1087,-0.3417,-0.3877,-0.4187,-0.4447,-0.4697,486.8383573,2.887284383,24.95448281
exp805,0,20,0,15,22,0,0,5,0,8,8,-1.4,180,-0.0497,-0.3177,-0.3507,-0.3717,-0.3897,-0.4047,412.895932,2.668578193,30.8153202
exp806,0,20,0,25,17,5,0,0,0,0,3,-1,180,-0.4527,-0.5157,-0.5497,-0.5747,-0.5937,-0.6107,105.5738685,0.000100863,0.917853696
exp807,0,20,0,25,25,0,0,0,0,0,0,-1.5,30,-0.0977,-0.3997,-0.4087,-0.4167,-0.4267,-0.4397,482.4524147,3.052072406,27.78185093
exp808,5,30,0,15,17,0,0,0,0,3,3,-1.5,30,-0.0907,-0.3707,-0.3937,-0.4087,-0.4207,-0.4337,383.4456953,1.607358397,35.10240002
exp809,0,30,0,15,20,0,5,0,0,0,0,-1,180,-0.2957,-0.3357,-0.3567,-0.3707,-0.3827,-0.3927,76.44645845,0.000365985,8.61213511
exp810,0,30,0,15,17,0,0,4,0,4,4,-1.5,30,-0.3037,-0.3777,-0.4097,-0.4307,-0.4487,-0.4647,111.3021861,0.002456174,9.723996824
exp811,0,20,0,15,27,0,0,0,0,8,8,-1.5,78,-0.0367,-0.0807,-0.1657,-0.3707,-0.3817,-0.3877,233.3976937,62.89993629,64.40827436
exp812,0,20,0,23,22,0,0,0,5,0,0,-1,30,-0.4967,-0.6147,-0.6697,-0.7007,-0.7237,-0.7417,170.9966138,0.002213038,1.502154972
exp813,0,30,0,15,17,0,0,0,0,8,8,-1.3,180,-0.0287,-0.0087,-0.0957,-0.1527,-0.3457,-0.3587,158.565499,281.896249,150.4039219
exp814,0,20,0,18,27,0,0,0,5,0,0,-1.3,180,-0.4757,-0.5657,-0.6057,-0.6317,-0.6517,-0.6687,122.4670679,0.000170964,5.755183015
exp815,0,20,0,15,23,0,5,0,0,7,7,-1.5,180,-0.0267,-0.2787,-0.3907,-0.3977,-0.4017,-0.4047,112.6524173,228.5549546,99.1246413
exp816,5,20,0,25,17,0,0,0,0,3,3,-1.5,136,-0.0267,-0.0567,-0.0987,-0.1397,-0.1757,0.0113,51.01047041,1023988.079,156.1121395
exp817,5,20,0,18,27,0,0,0,0,0,0,-1.5,180,-0.0357,-0.0567,-0.0947,-0.1377,-0.1947,-0.2737,94.11215724,2765.584751,131.8098771
exp818,5,30,0,15,20,0,0,0,0,0,0,-1.5,30,-0.2657,-0.3857,-0.4097,-0.4287,-0.4467,-0.4627,90.76170495,0.000430663,18.9184545
exp819,0,20,0,15,27,0,5,3,0,0,0,-1.5,180,-0.1977,-0.3747,-0.4107,-0.4337,-0.4517,-0.4677,341.9545475,1.064501815,29.26597758
exp820,5,20,0,25,17,0,0,0,0,3,3,-1,30,-0.4597,-0.5107,-0.5367,-0.5537,-0.5677,-0.5807,88.57585456,1.30E-05,3.047409401
exp821,5,20,0,25,20,0,0,0,0,0,0,-1.5,180,-0.0347,-0.0637,-0.1117,-0.1587,-0.2107,-0.2877,93.05842906,4483.94674,131.0390787
exp822,0,20,0,25,25,0,0,0,0,0,0,-1.5,30,-0.0127,-0.3937,-0.4057,-0.4117,-0.4187,-0.4277,409.6647852,3.117189014,36.36509293
exp823,0,20,0,25,21,0,4,0,0,0,0,-1.5,180,-0.0647,-0.4107,-0.4197,-0.4267,-0.4357,-0.4567,479.8264281,3.07014464,27.59195861
exp824,0,30,0,15,17,0,0,0,0,0,8,-1,30,-0.6587,-0.7337,-0.7667,-0.7877,-0.8037,-0.8177,129.7352589,4.92E-05,0.111483509
exp825,0,23,0,25,17,0,5,0,0,0,0,-1.1,86,-0.6237,-0.7067,-0.7467,-0.7717,-0.7907,-0.8067,127.4378212,5.25E-05,0.087692324
exp826,5,21,0,15,22,0,0,1,5,0,1,-1.4,180,-0.0377,-0.1457,-0.3567,-0.3897,-0.4147,-0.4367,10.33121432,2.34E+18,59.19524995
exp827,0,20,0,15,27,5,0,0,0,3,3,-1.5,180,-0.0467,-0.0847,-0.1627,0.0123,-0.3617,-0.3737,229.7516443,67.36267993,45.68879093
exp828,5,30,0,15,20,0,0,0,0,0,0,-1.5,180,-0.0207,-0.0707,-0.1327,-0.2277,-0.2927,-0.3217,213.2157469,109.4434074,109.8259959
exp829,5,20,0,15,22,0,0,0,0,8,8,-1.5,180,-0.0377,-0.0557,-0.0897,-0.1267,-0.1687,-0.2347,76.23132121,14155.75405,116.0456075
exp830,0,20,0,15,27,0,0,0,0,8,8,-1.4,180,-0.3587,-0.4037,-0.4507,-0.4937,-0.5357,-0.5637,192.8086088,0.083398334,9.426008438
exp831,0,30,0,15,17,3,5,0,0,0,0,-1.4,140,-0.0407,-0.3787,-0.3937,-0.3997,-0.4057,-0.4117,293.0788858,2.471530603,50.80680135
exp832,0,26,0,15,21,0,0,0,0,8,8,-1.5,180,-0.0647,-0.0097,0.0093,-0.3917,-0.4007,-0.4067,198.9229031,82.64592724,53.95434003
exp833,0,20,0,15,27,0,0,0,0,8,8,-1.5,180,-0.3747,-0.4147,-0.4627,-0.5017,-0.5317,-0.5577,174.0783867,0.040928594,10.58061541
exp834,5,28,5,15,17,0,0,0,0,0,0,-1.5,30,0.0073,-0.3617,-0.3927,-0.4037,-0.4127,-0.4217,429.7568844,3.066070278,49.0898871
exp835,5,20,0,25,17,0,0,0,0,3,3,-1.5,37,-0.1357,-0.3937,-0.4207,-0.4407,-0.4587,-0.4757,97.77893687,0.000672832,22.6594006
exp836,0,20,0,25,17,0,0,0,0,8,8,-1.5,136,-0.0487,-0.0747,-0.0987,-0.1227,-0.1457,-0.1677,51.59108561,1837897.059,127.4821445
exp837,0,20,0,24,17,0,0,1,0,8,8,-1.5,135,-0.0397,-0.0707,-0.0007,-0.2137,-0.3117,-0.3387,151.6577742,323.2241653,118.2958259
exp838,0,23,5,15,23,0,0,0,0,4,4,-1.5,180,0.0133,-0.4217,-0.4867,-0.5287,-0.5597,-0.5977,209.5064167,0.083768136,7.950397185
exp839,0,20,3,22,17,0,0,0,0,8,8,-1.5,180,-0.0727,-0.0967,-0.0447,-0.1407,-0.0217,-0.1867,44.12422946,5414048.647,84.65548322
exp840,1,24,0,15,17,5,0,0,0,8,8,-1.5,180,-0.0307,-0.3047,-0.3767,-0.4077,-0.4417,-0.4677,404.0181244,2.914153491,19.5494492
exp841,5,20,0,25,17,0,0,0,0,3,3,-1.5,30,-0.0597,-0.3547,-0.4047,-0.4187,-0.4297,-0.4397,471.9819143,3.244732289,47.53653862
exp842,0,20,5,15,22,0,5,0,0,3,3,-1.5,65,-0.4157,-0.4307,-0.4537,-0.4817,-0.5067,-0.5287,106.4329975,0.000816816,8.977202062
exp843,5,30,0,15,17,0,0,0,0,3,3,-1.5,180,-0.0337,-0.0677,-0.1227,-0.1807,-0.2787,-0.3187,128.0055772,768.8823813,120.2239477
exp844,2,20,0,15,27,0,0,0,0,6,6,-1.5,113,-0.3747,-0.4267,-0.4547,-0.4747,-0.4907,-0.5057,89.19325398,0.000133697,3.944822404
exp845,2,20,5,16,27,0,0,0,0,0,0,-1.5,180,-0.3577,-0.4117,-0.4387,-0.4577,-0.4737,-0.4877,91.52951651,0.000273514,6.629356774
exp846,0,30,5,18,17,0,0,0,0,0,0,-1.5,180,-0.1747,-0.4117,-0.4307,-0.4447,-0.4577,-0.4687,79.16252409,6.65E-05,18.56615477
exp847,5,20,0,25,17,0,0,0,0,0,3,-1.5,140,-0.0827,-0.3007,-0.3827,-0.4047,-0.4237,-0.4407,397.3441131,2.891381295,33.91562136
exp848,0,30,0,15,18,0,0,0,0,7,7,-1.3,180,-0.0947,-0.3997,-0.4077,-0.4137,-0.4217,-0.4297,366.0111438,1.513153809,34.81534429
exp849,5,28,0,15,17,5,0,0,0,0,0,-1,180,-0.6037,-0.6897,-0.7347,-0.7627,-0.7847,-0.8027,144.9770023,0.000273179,0.130608064
exp850,3,20,0,15,24,0,0,0,0,8,8,-1.5,180,-0.0107,-0.2217,-0.3537,-0.3717,-0.3827,-0.3917,82.84484773,0.113767599,59.02229708
exp851,0,28,0,15,19,0,0,0,0,8,8,-1.5,180,-0.3587,-0.3997,-0.4077,-0.4207,-0.4347,-0.4497,80.57495718,0.000190344,23.75758641
exp852,5,21,0,15,19,0,5,5,0,0,0,-1.5,180,-0.2527,-0.4107,-0.4497,-0.4777,-0.5027,-0.5257,487.5160196,2.009450808,20.53931488
exp853,0,20,5,15,17,5,0,0,0,8,8,-1.5,180,-0.0707,-0.3767,-0.4167,-0.4407,-0.4587,-0.4747,495.8429783,2.759481894,27.05164378
exp854,5,23,0,25,17,0,0,0,0,0,0,-1,97,-0.6747,-0.7247,-0.7487,-0.7657,-0.7797,-0.7917,114.9732731,1.30E-05,0.099893972
exp855,0,30,0,15,25,0,0,0,0,0,0,-1.5,180,-0.0187,-0.1127,-0.3467,-0.3837,-0.3947,-0.4007,183.8681403,88.42485391,70.3125532
exp856,0,22,0,15,21,0,0,0,0,2,12,-1.5,180,-0.1077,-0.3867,-0.3997,-0.4097,-0.4217,-0.4357,86.48731242,0.000579927,26.14395344
exp857,1,20,0,25,19,0,0,5,0,0,0,-1.5,139,-0.0957,-0.3107,-0.4207,-0.4487,-0.4727,-0.4947,144.6188159,0.398610086,25.66725044
exp858,0,20,0,16,26,0,0,0,0,8,8,-1.5,180,-0.3157,-0.4187,-0.4527,-0.4797,-0.5047,-0.5307,122.1973526,0.002747294,19.41728017
exp859,0,0,0,20,0,46,4,0,0,0,0,-1.5,30,-0.1967,-0.3157,-0.3367,-0.3527,-0.3667,-0.3797,85.62404799,0.002059265,22.06340881
exp860,0,0,0,20,20,10,0,0,0,0,20,-1,180,-0.3877,-0.5237,-0.5677,-0.5957,-0.6187,-0.6367,117.7195103,0.000248152,2.821145114
exp861,0,0,3,20,20,27,0,0,0,0,0,-1.5,180,-0.0047,-0.0867,-0.2817,-0.3237,-0.3347,-0.3427,14.95627529,11560255925,101.9211281
exp862,0,0,0,0,0,41,11,0,0,0,18,-1.5,89,0.0083,-0.2077,-0.2627,-0.2837,-0.2987,-0.3107,120.055456,0.13159324,54.24725264
